id,title,genres,averageRating,numVotes,releaseYear
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,350979,2017
tt1124373,"Sons of Anarchy","Crime, Drama, Thriller",8.6,331025,2008
tt1266020,"Parks and Recreation",Comedy,8.6,294876,2009
tt4786824,"The Crown","Biography, Drama, History",8.6,263240,2016
tt0106179,"The X-Files","Adventure, Crime, Drama",8.6,255766,1993
tt14452776,"The Bear","Comedy, Drama",8.6,250276,2022
tt0979432,"Boardwalk Empire","Crime, Drama",8.6,206564,2010
tt2788316,Shogun,"Adventure, Drama, History",8.6,182486,2024
tt1486217,Archer,"Action, Animation, Comedy",8.6,168547,2009
tt9335498,"Demon Slayer: Kimetsu no Yaiba","Action, Adventure, Animation",8.6,167852,2019
tt0096657,"Mr. Bean","Comedy, Family",8.6,137365,1990
tt1870479,"The Newsroom",Drama,8.6,127009,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,121637,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,120221,2004
tt1305826,"Adventure Time","Action, Adventure, Animation",8.6,117042,2010
tt7908628,"What We Do in the Shadows","Comedy, Fantasy, Horror",8.6,108525,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,90893,2016
tt9174558,Dopesick,Drama,8.6,82083,2021
tt1733785,"The Bridge","Crime, Mystery, Thriller",8.6,78389,2011
tt5421602,"Anne with an E","Drama, Family",8.6,69617,2017
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,54344,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,53569,1989
tt0088484,"Blackadder II",Comedy,8.6,50683,1986
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.6,49486,2016
tt0092324,"Blackadder the Third",Comedy,8.6,47764,1987
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,47066,2011
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,46684,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,45554,2014
tt13111040,"The Offer","Biography, Crime, Drama",8.6,42485,2022
tt5288312,Skam,"Drama, Romance",8.6,39580,2015
tt11854694,"Special OPS","Action, Crime, Thriller",8.6,38136,2020
tt9140342,"It's a Sin","Comedy, Drama, History",8.6,37855,2021
tt12451520,"It's Okay to Not Be Okay","Comedy, Drama, Romance",8.6,37363,2020
tt0053488,"The Bugs Bunny Show","Animation, Comedy",8.6,36151,1960
tt0417349,"North & South","Drama, Romance",8.6,35602,2004
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,34502,2012
tt0380136,QI,"Comedy, Game-Show",8.6,34012,2003
tt7562112,Pose,Drama,8.6,33684,2018
tt1983079,"Call the Midwife","Drama, History",8.6,32437,2012
tt4647692,Letterkenny,Comedy,8.6,30814,2016
tt5994364,"Guardian: The Lonely and Great God","Comedy, Drama, Fantasy",8.6,30201,2016
tt20869502,"Extraordinary Attorney Woo",Drama,8.6,29363,2022
tt0417373,"The Venture Bros.","Action, Adventure, Animation",8.6,28564,2003
tt4156586,"Permanent Roommates","Comedy, Romance",8.6,26501,2014
tt0094517,"Mystery Science Theater 3000","Comedy, Sci-Fi",8.6,26148,1988
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,25299,2013
tt21056886,"Scavengers Reign","Adventure, Animation, Drama",8.6,23568,2023
tt2244495,"The Eric Andre Show","Comedy, Talk-Show",8.6,22319,2012
tt0129690,"I'm Alan Partridge",Comedy,8.6,22298,1997
tt4082744,Detectorists,Comedy,8.6,22281,2014
tt0421291,"Avrupa Yakasi",Comedy,8.6,21854,2004
tt2311418,"Isler Güçler",Comedy,8.6,21486,2012
tt8050756,"The Owl House","Action, Adventure, Animation",8.6,20984,2020
tt7278862,"My Brilliant Friend",Drama,8.6,18964,2018
tt0310455,"Foyle's War","Crime, Drama, Mystery",8.6,18825,2002
tt1513168,"Through the Wormhole",Documentary,8.6,18552,2010
tt10590066,"All Creatures Great & Small","Comedy, Drama",8.6,17989,2020
tt9814458,"Bandish Bandits","Drama, Music, Romance",8.6,17860,2020
tt3671754,"Kardes Payi","Comedy, Drama, Family",8.6,17441,2014
tt0203082,"Rurouni Kenshin: Trust and Betrayal","Action, Adventure, Animation",8.6,16590,1999
tt0403778,"Long Way Round","Adventure, Documentary",8.6,15524,2004
tt17513352,"Twenty Five Twenty One","Drama, Romance",8.6,15371,2022
tt15614372,"Tear Along the Dotted Line","Animation, Comedy, Drama",8.6,15132,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14450,2018
tt0120570,"From the Earth to the Moon","Action, Drama, History",8.6,13471,1998
tt1877368,"The Great British Baking Show","Game-Show, Reality-TV",8.6,13270,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,13260,1986
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12385,2021
tt5320412,"Moon Lovers: Scarlet Heart Ryeo","Action, Drama, Fantasy",8.6,12283,2016
tt0118273,"Brass Eye",Comedy,8.6,11746,1997
tt13400006,"Mr. Queen","Comedy, Fantasy, Romance",8.6,11700,2020
tt9103932,"Greatest Events of WWII in Colour","Documentary, History, War",8.6,11343,2019
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10468,2019
tt31862849,"Very Parivarik",Comedy,8.6,10208,2024
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10189,2015
tt0426719,"Hunter x Hunter","Action, Adventure, Animation",8.6,10160,1999
tt9304350,"Fruits Basket","Animation, Comedy, Drama",8.6,10081,2019
tt2306299,Vikings,"Action, Adventure, Drama",8.5,600106,2013
tt10048342,"The Queen's Gambit",Drama,8.5,582551,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,540973,2016
tt1442437,"Modern Family","Comedy, Drama, Romance",8.5,499400,2009
tt4158110,"Mr. Robot","Crime, Drama, Thriller",8.5,428624,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,357291,2017
tt6763664,"The Haunting of Hill House","Drama, Horror, Mystery",8.5,299180,2018
tt1439629,Community,Comedy,8.5,298772,2009
tt1586680,Shameless,"Comedy, Drama",8.5,298417,2011
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,283245,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,266193,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,261143,2010
tt0436992,"Doctor Who","Adventure, Drama, Sci-Fi",8.5,252230,2005
tt1839578,"Person of Interest","Action, Crime, Drama",8.5,193148,2011
tt3230854,"The Expanse","Drama, Mystery, Sci-Fi",8.5,177069,2015
tt4179452,"The Last Kingdom","Action, Drama, History",8.5,171961,2015
tt2575988,"Silicon Valley",Comedy,8.5,169625,2014
tt0487831,"The IT Crowd",Comedy,8.5,167181,2006
tt3526078,"Schitt's Creek",Comedy,8.5,151941,2015
tt1758429,"Spartacus: Gods of the Arena","Action, Adventure, Biography",8.5,147678,2011
tt12343534,"Jujutsu Kaisen","Action, Adventure, Animation",8.5,133361,2020
tt0290978,"The Office","Comedy, Drama",8.5,125377,2001
